date,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,trigger,ret_1d,ret_3d,ret_5d,vol_5d,vol_5d_avg,vol_ratio,rsi_14,atr_14
2018-01-15 00:00:00+00:00,13477.98,14249.99,13147.79,13539.93,14652.09471,2018-01-15 23:59:59.999000 UTC,200614554.5,145362,7431.063272,101748315.6,0,0.004819299,-0.014561853,-0.091712065,93863.38346,18772.67669,0.780501095,50.77589595,1860.68
2018-01-16 00:00:00+00:00,13500,13542.93,9035,10900,63401.16918,2018-01-16 23:59:59.999000 UTC,722150828.1,418243,30353.40172,346777069.9,1,-0.194973682,-0.232934553,-0.176661294,123709.8289,24741.96578,2.562495226,33.79916007,1998.141429
2018-01-17 00:00:00+00:00,10899.99,11680.99,9037.94,10988.79,72331.79665,2018-01-17 23:59:59.999000 UTC,744154180.1,517293,35412.79814,365047291.4,1,0.008145872,-0.184504775,-0.200234207,179624.4634,35924.89268,2.013417195,32.90301478,2104.247857
2018-01-18 00:00:00+00:00,10972.59,11878.82,10435.33,10961.97,48464.43494,2018-01-18 23:59:59.999000 UTC,541289614.1,393112,23814.38285,266091805.7,1,-0.002440669,-0.190396848,-0.22857354,215867.3898,43173.47796,1.122551095,32.00001757,2110.071429
2018-01-19 00:00:00+00:00,10960,11795,10360,11474.98,34129.37542,2018-01-19 23:59:59.999000 UTC,382773499.2,273271,16871.41636,189259676.9,1,0.04679907,0.052750459,-0.148423858,232978.8709,46595.77418,0.732456452,22.55733512,2028.554286
2018-01-20 00:00:00+00:00,11474.98,13099,11412.45,12799.94,28768.85783,2018-01-20 23:59:59.999000 UTC,358561107.8,251647,14389.19601,179183657.9,0,0.115465125,0.164817964,-0.054652424,247095.634,49419.1268,0.582140149,30.95495309,2068.170714
2018-01-21 00:00:00+00:00,12799.8,12799.8,10965,11530,41379.77343,2018-01-21 23:59:59.999000 UTC,485289230.8,360207,20574.76006,241154450,1,-0.099214528,0.051818241,0.057798165,225074.2383,45014.84765,0.919247217,30.01725771,2092.812143
2018-01-22 00:00:00+00:00,11530,11926.35,9900.24,10760.05,43752.60679,2018-01-22 23:59:59.999000 UTC,475716514.2,363264,21300.57583,231677479.1,1,-0.066777971,-0.062303377,-0.020815759,196495.0484,39299.00968,1.113325937,31.31068684,1986.798571
2018-01-23 00:00:00+00:00,10760.05,11399,9905,10799.18,37473.92255,2018-01-23 23:59:59.999000 UTC,399419413.2,355286,18747.79383,199899519.3,1,0.0036366,-0.156310108,-0.014850433,185504.536,37100.9072,1.010054076,33.04555,1987.159286
2018-01-24 00:00:00+00:00,10799.14,11570.48,10500,11349.99,27158.58776,2018-01-24 23:59:59.999000 UTC,299470607.4,293429,13087.39309,144335221.6,1,0.051004799,-0.015612316,-0.010892394,178533.7484,35706.74967,0.760600951,33.32007855,1933.311429
