date,trigger,close,volume,ret_1d,ret_3d,ret_5d,vol_5d,rsi_14,atr_14
2018-01-15,0.0,13539.93,14652.09471,0.004819298567197539,-0.014561852575070922,-0.09171206452768443,-0.15845768117628234,50.775895945624704,1860.68
2018-01-16,1.0,10900.0,63401.16918,-0.19497368154783667,-0.2329345531315975,-0.17666129356330418,0.8894856549072321,33.79916006993409,1998.1414285714288
2018-01-17,0.0,10988.79,72331.79665,0.0081458715596332,-0.18450477514269015,-0.20023420652532276,3.4058647915625695,32.903014781616235,2104.2478571428574
2018-01-18,1.0,10961.97,48464.43494,-0.0024406690818553622,-0.19039684843274673,-0.22857353976073191,2.9655035072826648,32.00001757137271,2110.0714285714284
2018-01-19,1.0,11474.98,34129.37542,0.046799069875214094,0.05275045871559625,-0.1484238578284659,1.0054993149084854,22.55733512368539,2028.554285714286
2018-01-20,0.0,12799.94,28768.85783,0.115465124993682,0.16481796448926578,-0.05465242434783635,0.9634638186146425,30.954953090446196,2068.1707142857144
2018-01-21,0.0,11530.0,41379.77343,-0.09921452756809801,0.0518182406994363,0.05779816513761471,-0.3473342216683708,30.01725771082306,2092.8121428571426
2018-01-22,1.0,10760.05,43752.60679,-0.06677797051170864,-0.062303376563619284,-0.0208157586049057,-0.39511240123467894,31.310686838992254,1986.7985714285714
2018-01-23,1.0,10799.18,37473.92255,0.0036366002016721133,-0.15631010770362985,-0.014850432905764155,-0.22677479689191637,33.04554999952916,1987.1592857142857
2018-01-24,0.0,11349.99,27158.58776,0.05100479851247952,-0.01561231569817867,-0.01089239371223305,-0.20424597796521882,33.3200785533283,1933.3114285714285
2018-01-25,0.0,11175.27,20839.95418,-0.015393846161978919,0.03858904001375474,-0.12692793872471275,-0.2756071755386752,38.74763747882865,1738.68
2018-01-26,1.0,11089.0,33056.87196,-0.007719723997720029,0.02683722282617751,-0.03824804856895059,-0.20113453458316832,34.85876035351892,1718.8278571428568
2018-01-27,1.0,11491.0,18860.76835,0.03625214176210667,0.012423799492334409,0.06793184046542544,-0.568922408657242,34.34888122418343,1714.075
2018-01-28,0.0,11879.95,16887.33952,0.0338482290488209,0.06305708944839816,0.10007889487905564,-0.5493575699883598,40.43766231586219,1647.3392857142858
2018-01-29,0.0,11251.0,14170.37754,-0.05294214201238223,0.01460907205338624,-0.008721593587307064,-0.4782358469732153,37.14695150507119,1628.287142857143
2018-01-30,1.0,10237.51,25554.37295,-0.09007999288952095,-0.10908450091375854,-0.08391385622002867,0.22622020803310616,45.44854962838994,1406.8935714285715
2018-01-31,0.0,10285.1,18015.95681,0.004648591307847338,-0.13424719801009266,-0.07249526557850117,-0.45500116188246864,45.13797244282183,1269.9507142857144
2018-02-01,0.0,9224.52,33564.76431,-0.1031181028867002,-0.1801155452848635,-0.19723957880080056,0.7796074734145177,39.495910088448504,1279.9878571428574
2018-02-02,1.0,8873.03,49971.62698,-0.03810387965986306,-0.13328240949215187,-0.25310880938051084,1.9591178006942798,33.95607011122445,1266.0578571428573
2018-02-03,0.0,9199.96,28725.00074,0.03684536173099806,-0.10550602327639025,-0.18229846235890146,1.027116120153846,24.68653316082579,1234.4478571428574
2018-02-04,0.0,8184.81,32014.30845,-0.11034287105596097,-0.11271155572322467,-0.20050774065177956,0.2527917829421833,25.603959154085246,1206.095
2018-02-05,1.0,6939.99,63403.18258,-0.15208905276970397,-0.2178556817682349,-0.32523845174086785,2.5192792283342516,23.945419922301284,1186.93
2018-02-06,0.0,7652.14,100201.5003,0.10261542163605442,-0.16824203583493835,-0.17045656576168733,1.9853181561041624,30.34058396531691,1214.3578571428573
2018-02-07,1.0,7599.0,60778.4605,-0.006944462594777434,-0.07157282820248734,-0.14358454778131036,0.216259389039408,25.01415490865587,1232.6085714285714
2018-02-08,1.0,7784.02,1521.537318,0.02434794051848943,0.12161833086214835,-0.15390719090082983,-0.947030904132189,27.441385852248317,1191.7564285714286
2018-02-09,0.0,8683.92,20482.91083,0.11560864437655605,0.13483548392998546,0.0609800349672136,-0.3601951183174784,35.56402277987458,1164.7657142857142
2018-02-10,0.0,8533.98,49381.51265,-0.01726639582124212,0.12303987366758773,0.2296818871496933,-0.2211508848520014,31.697305059358015,1174.6564285714287
2018-02-11,1.0,8063.88,45025.18795,-0.05508566928912417,0.035953145033029266,0.05380717028177728,-0.5506535549348457,26.61506878695957,1173.69
2018-02-12,0.0,8903.0,41987.85049,0.10405908818087561,0.02522823793862683,0.17160152651664684,-0.3091656132027234,35.9727436309804,1180.8707142857143
2018-02-13,1.0,8539.9,35454.97296,-0.040784005391441114,0.0006936974307416577,0.09710663641665862,22.302072542396886,39.003734925243194,1123.055
2018-02-14,1.0,9449.99,40811.95287,0.1065691635733439,0.1718911987777596,0.0882170724741822,0.9924879431797047,45.13425927544389,1139.537142857143
2018-02-15,1.0,10000.09,52427.59672,0.05821170181132462,0.1232270021341122,0.17179674665279276,0.06168470560206707,54.80464127963524,1091.965
2018-02-16,1.0,10159.98,38161.20597,0.01598885610029499,0.18970713942786221,0.2599369038229735,-0.15244760305325933,58.166496392514695,1050.3500000000001
2018-02-17,0.0,11039.55,41882.10841,0.08657202081106452,0.16820758540485214,0.2399809053128159,-0.0025183970783448917,60.908268294100274,1034.7114285714285
2018-02-18,1.0,10383.43,61137.38073,-0.05943358198477289,0.03833365499710495,0.21587255120083393,0.7243668694649599,63.61701758688775,1017.2828571428571
2018-02-19,1.0,11153.0,40831.41713,0.07411520085366785,0.09773838137476654,0.18021288911416833,0.0004769254747989393,77.7251602764481,961.702142857143
2018-02-20,0.0,11200.99,48153.35429,0.004302878149376799,0.014623784483968949,0.1200889191997272,-0.08152657564731491,75.59149942670888,876.5185714285716
2018-02-21,0.0,10437.6,68113.81875,-0.0681537971197188,0.005216965877364199,0.027324856938694797,0.7848969134661758,68.56774683080627,860.6642857142859
2018-02-22,1.0,9811.04,67060.16648,-0.06002912546945649,-0.12032278310768396,-0.11128261568632769,0.6011650087794613,62.53500118731944,930.8450000000001
2018-02-23,0.0,10131.04,57202.70237,0.03261631794386721,-0.09552280646621403,-0.02430699682089632,-0.06435798055164732,59.64034566466904,924.4757142857145
2018-02-24,0.0,9694.51,40888.1563,-0.043088369999526255,-0.07119356940292787,-0.13077109297946743,0.0013895959040401973,57.446808510638306,938.7035714285715
2018-02-25,1.0,9590.0,28373.51759,-0.010780328247637083,-0.02252972161972644,-0.1438256796943841,-0.41076757770346395,60.274771293226735,920.827142857143
2018-02-26,1.0,10324.0,34878.29276,0.07653806047966638,0.01904641576777899,-0.010883728060090525,-0.4879410169614078,59.7044016051531,932.1357142857144
2018-02-27,0.0,10569.04,30705.38512,0.02373498643936478,0.09020878827295054,0.07725990312953579,-0.5421218477118221,64.08467715066303,942.8500000000001
2018-02-28,1.0,10326.76,30800.98378,-0.022923557863344324,0.07682586027111582,0.019318845844059407,-0.4615467013993102,56.70769866346367,931.5214285714288
2018-03-01,1.0,10920.0,25092.55393,0.05744686620004713,0.057729562185199645,0.12641072111947893,-0.3863124141403266,56.99158951098167,924.5507142857144
2018-03-02,1.0,11039.0,23910.71009,0.010897435897435859,0.0444657225254137,0.15109489051094882,-0.15728777673914063,56.72259781577902,908.3100000000001
2018-03-03,1.0,11464.48,21287.15328,0.03854334631760126,0.1101720191037654,0.11046881053855095,-0.38967330119973453,53.49235910324457,872.8757142857141
